PreMindfulness,PreAnxiety,PostMindfulness,PostAnxiety
48,0,44,0
57,1,51,0
57,7,61,0
48,0,43,5
43,9,45,10
36,6,49,1
25,9,35,9
54,12,53,10
43,9,40,10
47,16,51,16
46,9,45,9
44,15,55,10
54,9,65,2
43,11,45,9
40,9,46,9
45,8,49,10
39,17,46,15
31,11,35,6
45,12,40,15
45,15,46,12
45,8,45,7
40,5,44,6
56,10,53,13
53,0,47,0
49,17,57,19
59,6,69,4
35,5,42,4
31,13,25,9
58,2,58,7
48,0,54,7
42,10,48,1
47,7,44,10
45,12,45,11
51,9,45,4
51,10,54,6
67,9,73,0
60,3,65,2
50,6,64,0
57,14,53,3
45,21,70,1
50,8,49,7
28,15,39,11
31,16,30,17
46,5,45,1
52,8,39,8
34,8,43,11
45,4,44,10
34,13,36,12
33,14,39,13
60,0,52,0
49,6,58,4
51,6,53,15
54,10,58,7
61,15,63,8
45,9,50,6
44,5,43,4
54,8,48,3
48,5,43,7
39,18,41,11
49,11,51,4
58,3,53,1
55,11,62,12
52,3,58,0
31,6,44,2
40,10,53,6
71,0,70,0
47,9,43,8
55,10,55,0
41,8,55,1
52,9,52,12
45,14,47,16
48,4,45,1
48,4,47,1
58,4,58,1
34,7,39,6
28,15,45,10
47,14,44,19
48,9,57,0
45,5,50,2
55,7,58,6
57,11,57,15
41,8,42,13
60,2,62,0
45,3,48,2
40,17,40,16
46,15,46,8
48,7,53,2
40,14,49,5
48,12,59,0
45,13,41,14
41,9,47,2
39,2,44,2
54,7,46,9
39,11,53,2
39,4,41,3
49,5,50,3
49,6,41,11
26,12,37,14
35,8,38,7
46,8,52,6
39,17,46,7
38,8,33,10
44,17,57,5
53,16,51,7
42,21,47,21
50,1,52,3
30,15,38,14
42,8,48,7
39,10,43,11
69,8,75,0
40,9,36,4
47,15,58,2
47,7,45,0
52,5,55,1
30,18,30,11
49,10,48,8
33,10,45,0
46,5,56,0
43,14,51,3
52,13,61,3
46,4,50,4
36,10,40,2
36,7,46,7
42,16,51,4
35,19,34,17
49,2,52,4
45,8,62,2
48,3,59,0
50,9,52,12
32,5,42,16
50,7,53,7
47,4,53,7
40,6,45,9
46,15,50,7
43,9,57,3
41,8,44,4
49,14,53,8
52,5,56,1
45,15,51,6
35,19,33,14
47,18,56,7
34,17,37,10
35,10,43,2
30,13,40,2
36,17,40,19
46,7,47,6
34,17,50,9
45,20,37,15
48,14,46,7
48,3,57,0
72,6,73,0
40,11,53,6
49,11,51,7
49,2,51,1
48,11,46,13
57,12,66,4
40,11,42,6
49,7,48,5
44,8,52,1
